team,arena,tm,city,state_province,lat,long,logo
Atlanta Hawks,State Farm Arena,ATL,Atlanta,Georgia,33.7573,-84.3963,https://content.sportslogos.net/logos/6/220/thumbs/22081902021.gif
Boston Celtics,TD Garden,BOS,Boston,Massachusetts,42.6332,-71.0621,https://content.sportslogos.net/logos/6/213/thumbs/slhg02hbef3j1ov4lsnwyol5o.gif
Brooklyn Nets,Barclays Center,BRK,Brooklyn,New York,40.6826,-73.9754,https://content.sportslogos.net/logos/6/3786/thumbs/hsuff5m3dgiv20kovde422r1f.gif
Charlotte Hornets,Spectrum Center,CHO,Charlotte,North Carolina,35.2252,-80.8393,https://content.sportslogos.net/logos/6/5120/thumbs/512019262015.gif
Chicago Bulls,United Center,CHI,Chicago,Illinois,41.8807,-87.6742,https://content.sportslogos.net/logos/6/221/thumbs/hj3gmh82w9hffmeh3fjm5h874.gif
Cleveland Cavaliers,Rocket Mortgage FieldHouse,CLE,Cleveland,Ohio,41.4965,-81.6881,https://content.sportslogos.net/logos/6/222/thumbs/22253692023.gif
Dallas Mavericks,American Airlines Center,DAL,Dallas,Texas,32.7905,-96.8108,https://content.sportslogos.net/logos/6/228/thumbs/22834632018.gif
Denver Nuggets,Ball Arena,DEN,Denver,Colorado,39.7487,-105.0076,https://content.sportslogos.net/logos/6/229/thumbs/22989262019.gif
Detroit Pistons,Little Caesars Arena,DET,Detroit,Michigan,42.3411,-83.0553,https://content.sportslogos.net/logos/6/223/thumbs/22321642018.gif
Golden State  Warriors,Chase Center,GSW,San Francisco,California,37.768,-122.3879,https://content.sportslogos.net/logos/6/235/thumbs/23531522020.gif
Houston Rockets,Toyota Center,HOU,Houston,Texas,29.7508,-95.3621,https://content.sportslogos.net/logos/6/230/thumbs/23068302020.gif
Indiana Pacers,Bankers Life Fieldhouse,IND,Indianapolis,Indiana,39.764,-86.1555,https://content.sportslogos.net/logos/6/224/thumbs/22448122018.gif
Los Angeles Clippers,Staples Center,LAC,Los Angeles,California,34.043,-118.2673,https://content.sportslogos.net/logos/6/236/thumbs/23637762019.gif
Los Angeles Lakers,Staples Center,LAL,Los Angeles,California,34.043,-118.2673,https://content.sportslogos.net/logos/6/237/thumbs/uig7aiht8jnpl1szbi57zzlsh.gif
Memphis Grizzlies,FedExForum,MEM,Memphis,Tennessee,35.1381,-90.0506,https://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif
Miami Heat,Miami-Dade Arena,MIA,Miami,Florida,25.7814,-80.187,https://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif
Milwaukee Bucks,Fiserv Forum,MIL,Milwaukee,Wisconsin,43.0451,-87.9174,https://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif
Minnesota Timberwolves,Target Center,MIN,Minneapolis,Minnesota,44.9795,-93.2761,https://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif
New Orleans Pelicans,Smoothie King Center,NOP,New Orleans,Louisiana,29.949,-90.0821,https://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif
New York Knicks,Madison Square Garden,NYK,New York,New York,40.7505,-73.9934,https://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif
Oklahoma City Thunder,Paycom Center,OKC,Oklahoma City,Oklahoma,35.4634,-97.5151,https://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif
Orlando Magic,Amway Center,ORL,Orlando,Florida,28.5392,-81.3839,https://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif
Philadelphia 76ers,Wells Fargo Center,PHI,Philadelphia,Pennsylvania,39.9012,-75.172,https://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif
Phoenix Suns,Footprint Center,PHO,Phoenix,Arizona,33.4457,-112.0712,https://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif
Portland Trail Blazers,Moda Center,POR,Portland,Oregon,45.5316,-122.6668,https://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif
Sacramento Kings,Golden 1 Center,SAC,Sacramento,California,38.5802,-121.4997,https://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif
San Antonio Spurs,AT&T Center,SAS,San Antonio,Texas,29.427,-98.4375,https://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif
Toronto Raptors,Scotiabank Arena,TOR,Toronto,Ontario,43.6435,-79.3791,https://content.sportslogos.net/logos/6/227/thumbs/22770242021.gif
Utah Jazz,Vivint Smart Home Arena,UTA,Salt Lake City,Utah,40.7683,-111.9011,https://content.sportslogos.net/logos/6/234/thumbs/23485132023.gif
Washington Wizards,Capital One Arena,WAS,Washington,D.C.,38.8982,-77.0209,https://content.sportslogos.net/logos/6/219/thumbs/21956712016.gif
